2019-09-30 01:27:47 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050476991828124 }', details={}}]. 
2019-09-30 01:28:12 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050487010931980 }', details={}}]. 
2019-09-30 01:28:31 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=2, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050515550795328 }', details={}}]. 
2019-09-30 01:28:42 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050535325934264 }', details={}}]. 
2019-09-30 01:28:55 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=2, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050545123103672 }', details={}}]. 
2019-09-30 01:29:21 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050559486260956 }', details={}}]. 
2019-09-30 01:29:25 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050584368921456 }', details={}}]. 
2019-09-30 01:29:26 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050585160490628 }', details={}}]. 
2019-09-30 01:29:52 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=2, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646050591495331196 }', details={}}]. 
2019-09-30 01:47:03 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646051689533643832 }', details={}}]. 
